,LVFAILURE,HISTORY,LVEDVOLUME,CVP,PCWP,HYPOVOLEMIA,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HR,ERRCAUTER,HREKG,HRSAT,ANAPHYLAXIS,TPR,ARTCO2,EXPCO2,VENTLUNG,INTUBATION,MINVOL,FIO2,PVSAT,VENTALV,SAO2,SHUNT,PULMEMBOLUS,PAP,PRESS,KINKEDTUBE,VENTTUBE,MINVOLSET,VENTMACH,DISCONNECT,CATECHOL,INSUFFANESTH,CO,BP
27,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,2,0,0,1,1,3,1,1,1,2,1,1,1,1,0
28,1,1,2,2,2,0,1,1,0,1,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,3,2,3,1,1,1,1,0
29,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,1,1,2,0
30,1,1,1,0,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,1,1,1,1,1,0
31,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,2,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,2,0,1,1,0,0
32,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,1,1,1,1,2,1,1,1,2,1,0,1,1,1
33,1,1,1,1,1,1,1,1,2,2,0,1,1,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,1,0,1,1,1,2,2
34,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,1,1,3,2,3,1,1,1,2,0
35,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,1,1,1,1,2,2
36,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,1,1,2,2
37,1,1,1,1,1,1,1,1,0,0,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,0
38,1,1,1,1,1,1,1,0,2,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,0,1,1,1
39,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,0
40,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,3,3,0,1,1,0,1,0,0,1,1,3,1,0,1,0,1,1,1,2,0
41,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
42,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,0,1,1,1,2,2
43,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,0,3,1,1,1,2,1,1,1,1,1
44,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,0,2,2
45,1,1,2,1,2,0,1,1,0,1,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,0
46,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,1
47,1,1,2,2,2,0,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,0
48,1,1,1,1,1,1,2,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
49,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,2,3,1,1,1,2,1,1,0,1,1
50,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,0,1,1,1
51,1,1,2,2,2,0,0,1,0,1,0,1,1,1,2,1,2,2,0,0,1,0,2,0,0,1,1,3,1,0,1,2,1,0,1,0,0
52,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1,2,2
53,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,1,0,2,3,1,1,1,2,1,1,1,2,2
54,1,1,2,2,2,0,0,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,2
55,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
56,1,1,2,1,2,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,1
57,1,1,1,1,1,1,1,0,1,1,1,0,0,1,2,2,3,0,0,0,1,0,0,0,0,1,0,3,1,0,0,1,1,0,1,1,2
58,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,1,2,0,1,1,2,0
59,1,1,2,2,2,0,1,1,2,2,1,2,2,1,1,2,1,0,1,1,1,0,1,0,0,1,1,3,0,1,1,2,1,1,1,2,1
60,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,1,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
61,1,1,2,1,2,0,1,1,2,2,1,2,2,1,0,2,3,3,0,2,1,0,1,0,0,1,1,3,1,1,1,2,1,1,1,2,0
62,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
63,1,1,0,0,0,1,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,1,1,1,3,1,1,1,2,1,1,1,0,0
64,1,1,1,1,1,0,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,1,1,1,0,0
65,1,1,2,2,2,0,1,1,0,1,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,0
66,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
67,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,2,1,1,1,2,2
68,1,1,1,1,1,1,1,1,1,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,0
69,1,1,2,1,2,0,0,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,0
70,1,0,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,0
71,0,0,0,0,0,1,0,1,2,2,1,2,2,0,0,0,1,1,0,3,1,0,3,0,0,1,1,1,1,3,2,3,1,1,1,0,0
72,1,1,1,1,1,1,1,1,2,2,0,1,1,1,2,2,2,1,0,3,0,0,0,0,0,1,1,3,1,0,0,1,0,1,1,2,2
73,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,0,1,1,0,3,0,1,3,1,0,1,1,3,1,0,0,1,1,1,0,2,2
74,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,0,1,1,1,3,1,0,1,2,0,1,1,2,0
75,1,1,2,2,2,0,0,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,1
76,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
77,1,1,1,1,1,1,1,0,1,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,2
78,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1
79,1,1,2,2,2,0,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,0,2,2
80,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
81,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,1,1,0,2,2,1,0,2,0,1,1,1,1,1,0,1,1,1,1,1,2,0
82,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,1,0,2,0
83,1,1,1,1,1,1,1,0,1,2,1,2,2,1,1,1,0,1,0,3,1,2,3,2,0,1,1,3,1,0,1,0,1,1,1,2,1
84,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,0,1,1,1
85,0,0,0,0,0,1,0,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,2
86,1,1,1,0,1,1,1,0,1,2,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,0,2,0
87,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,1,1,0,0,1,1,1,1,2,1
88,1,1,2,1,2,0,0,1,2,2,1,2,2,1,1,1,1,0,2,2,1,0,2,0,1,1,1,1,1,0,1,2,0,1,0,0,0
89,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,2,3,1,1,1,2,1,1,1,2,2
91,1,1,2,2,2,0,0,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,1,0,0,1,1,2,1,1,1,2,1,1,1,0,0
92,1,1,2,2,2,0,0,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,0
93,1,1,1,1,1,1,1,1,0,1,1,0,0,1,2,0,1,1,0,3,1,2,3,2,0,1,1,1,1,3,2,3,1,0,1,1,1
94,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
95,1,1,1,1,1,1,0,1,2,2,1,2,2,1,0,2,2,1,2,1,1,0,1,0,1,1,1,3,1,1,1,2,1,1,0,0,0
96,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,0,0,0,0,0,1,1,3,1,0,1,2,0,1,0,2,2
97,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,0,2,2,1,0,2,0,1,1,1,3,1,1,1,2,1,1,1,2,2
98,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,3,0,0,0,1,0,0,0,0,1,1,3,1,0,1,0,1,1,1,2,1
99,0,0,0,0,0,1,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,0
100,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
101,0,1,0,0,0,0,0,1,2,2,1,2,2,1,0,2,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,1,1,0,0,0
102,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
103,1,1,2,2,1,0,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
104,1,1,1,0,1,1,1,1,2,2,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,0
105,1,0,1,1,1,1,1,0,1,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,0,2,2
106,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,0,0,0,0,0,1,2,3,2,0,1,1,3,1,1,1,2,1,0,0,1,1
107,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,2,2
108,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,1
109,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
110,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,1,1,2,0
111,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,1,1,0,2,2
112,1,1,1,1,1,1,1,1,2,2,0,1,1,1,0,2,1,0,1,1,1,0,1,0,0,1,1,3,1,1,1,2,1,1,1,2,0
113,1,1,1,1,1,1,1,1,0,1,0,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,1
114,1,1,1,1,1,1,1,1,0,2,1,2,2,1,1,0,3,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,1,1,2,1
115,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,0,1,0
116,1,1,2,2,2,0,0,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,1
117,1,1,2,1,2,0,1,1,0,1,1,0,0,1,2,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,0,1,1,2
118,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
119,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,0,2,2
120,1,1,2,2,2,0,0,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,2,0,1,1,3,1,0,0,1,1,1,1,1,0
121,1,1,2,2,2,0,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,0
122,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,1,1,1,1
123,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,0
124,1,1,2,1,2,0,0,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,2,0,1,1,1,1
125,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,2
126,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,1,1,0,0,1,0,0,1,1,3,1,1,1,2,1,1,1,2,2
127,1,1,2,2,2,0,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,0,2,2
128,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,0,2,1,1,1,2,1,1,1,2,2
129,1,1,1,1,1,1,1,1,2,2,0,1,1,1,0,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,0
130,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1,2,2
131,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,1
132,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
133,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,1
134,1,1,1,1,1,1,1,1,2,2,1,2,0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,0
135,1,1,0,0,0,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,0,1,3,1,0,1,1,3,1,0,0,1,1,1,1,2,0
136,0,0,0,0,0,1,0,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,0
137,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
138,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,1
139,1,1,1,0,1,0,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
140,1,1,1,1,1,1,1,1,2,2,0,1,1,1,2,2,1,0,0,3,1,0,1,0,0,1,2,1,1,1,1,2,1,1,1,2,2
141,1,1,0,1,0,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
142,1,1,1,1,1,1,2,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
143,1,1,2,2,2,0,0,1,0,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1
144,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,2,1,1,3,1,2,1,1,1,0,0
145,1,1,0,0,0,1,1,1,1,2,1,2,2,1,1,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,0,1,1,1,2,2
146,1,1,2,1,2,0,1,1,2,2,1,2,2,1,2,2,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,2,1,1,0,2,2
147,1,1,2,1,2,0,1,1,2,2,1,2,2,1,1,2,2,1,2,0,1,0,1,0,1,1,1,3,1,1,1,2,1,1,1,2,1
148,1,1,1,1,2,1,1,1,0,1,1,0,0,1,2,0,1,1,0,3,1,2,3,2,0,1,1,1,1,3,2,3,1,0,1,1,1
149,1,1,2,2,2,0,0,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,1
150,1,1,1,1,0,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,0,0,2,1,2,1,1,1,2,2
151,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,1,3,1,0,1,0,1,1,0,1,0
152,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,0,1,0,3,1,2,3,2,0,1,1,3,1,0,0,0,0,1,1,2,1
153,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,2,2,1,1,1,2,1,1,1,2,2
154,1,1,1,0,1,0,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,1,1
155,1,1,2,2,2,0,1,0,1,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
156,1,1,2,2,2,0,0,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,1
157,1,1,2,2,2,0,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,1
158,1,1,2,2,1,1,2,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,2,0,1,1,3,1,1,1,2,1,1,1,2,2
159,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,0,1,1,2,1,1,0,1,1
160,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,2,1,1,1,2,2
161,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,0,3,1,2,3,2,0,1,0,1,1,3,2,3,1,1,1,2,0
162,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,0,1,0,1,0,1,1,1,3,1,1,1,2,1,1,1,2,2
163,1,1,2,2,2,0,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
164,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,3,0,0,0,1,0,0,2,0,1,1,1,1,1,1,2,1,1,1,2,2
165,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,1,0,1,1,1,2,2
166,1,1,2,1,2,0,0,0,1,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,0,0
167,1,1,1,1,0,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,1,2,2
168,1,1,2,2,2,0,0,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,0,0
169,1,1,1,1,1,1,1,1,2,2,1,0,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
170,1,1,2,2,2,0,0,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,0,0,1,1,1,1,0,1
171,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
172,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,2,3,1,1,1,2,1,1,1,2,2
173,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,2,2,1,0,2,0,1,1,1,1,1,0,0,1,1,0,1,0,0
174,1,1,0,0,0,1,1,1,2,2,1,2,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,3,1,1,1,2,1,1,0,2,1
175,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,1,1,1,2,2
176,1,1,2,1,2,1,1,1,2,2,1,2,2,1,0,2,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,0
